UTF-8,UTF-8
IBM-864,Arabic (IBM-864)
IBM-864-I,Arabic (IBM-864-I)
ISO-8859-6,Arabic (ISO-8859-6)
ISO-8859-6-E,Arabic (ISO-8859-6-E)
ISO-8859-6-I,Arabic (ISO-8859-6-I)
Windows-1256,Arabic (Windows-1256)
ARMSCII-8,Armenian (ARMSCII-8)
ISO-8859-13,Baltic (ISO-8859-13)
ISO-8859-4,Baltic (ISO-8859-4)
Windows-1257,Baltic (Windows-1257)
ISO-8859-14,Celtic (ISO-8859-14)
IBM-852,Central European (IBM-852)
ISO-8859-2,Central European (ISO-8859-2)
Windows-1250,Central European (Windows-1250)
Big5,Chinese Traditional (Big5)
Big5-HKSCS,Chinese Traditional (Big5-HKSCS)
GB18030,Chinese Simplified (GB18030)
GB2312,Chinese Simplified (GB2312)
ISO-2022-CN,Chinese Simplified (ISO-2022-CN)
IBM-855,Cyrillic (IBM-855)
ISO-8859-5,Cyrillic (ISO-8859-5)
ISO-IR-111,Cyrillic (ISO-IR-111)
KOI8-R,Cyrillic (KOI8-R)
Windows-1251,Cyrillic (Windows-1251)
CP-866,Cyrillic/Russian (CP-866)
KOI8-U,Cyrillic/Ukrainian (KOI8-U)
US-ASCII,English (US-ASCII)
ISO-8859-7,Greek (ISO-8859-7)
Windows-1253,Greek (Windows-1253)
GEOSTD8,Georgian (GEOSTD8)
IBM-862,Hebrew (IBM-862)
ISO-8859-8-E,Hebrew (ISO-8859-8-E)
ISO-8859-8-I,Hebrew (ISO-8859-8-I)
Windows-1255,Hebrew (Windows-1255)
ISO-8859-8,Hebrew Visual (ISO-8859-8)
EUC-JP,Japanese (EUC-JP)
ISO-2022-JP,Japanese (ISO-2022-JP)
Shift_JIS,Japanese (Shift_JIS)
EUC-KR,Korean (EUC-KR)
ISO-2022-KR,Korean (ISO-2022-KR)
ISO-8859-10,Nordic (ISO-8859-10)
ISO-8859-3,South European (ISO-8859-3)
ISO-8859-16,Romanian (ISO-8859-16)
TIS-620,Thai (TIS-620)
IBM-857,Turkish (IBM-857)
ISO-8859-9,Turkish (ISO-8859-9)
Windows-1254,Turkish (Windows-1254)
UTF-7,Unicode (UTF-7)
VISCII,Vietnamese (VISCII)
Windows-1258,Vietnamese (Windows-1258)
IBM-850,Western (IBM-850)
ISO-8859-1,Western (ISO-8859-1)
ISO-8859-15,Western (ISO-8859-15)
Windows-1252,Western (Windows-1252)
